olt_key,exchange_count,primary_exchange_code,multi_exchange_flag
OLT_0001,3,CBTMTP,1
OLT_0002,2,CBTMTP,1
OLT_0003,2,CBTMTP,1
OLT_0004,1,CBTMTP,0
OLT_0005,5,CBTMTP,1
OLT_0006,2,CBTKDZ,1
OLT_0007,2,CBTKDZ,1
OLT_0008,2,CBTKDZ,1
OLT_0009,1,CBTMTP,0
OLT_0010,5,CBTKDZ,1
OLT_0011,2,CBTSMG,1
OLT_0012,1,CBTMTP,0
