olt_ip,total_customers
10.215.74.197,449
10.215.65.160,197
10.215.74.244,165
10.215.65.126,144
10.215.74.243,132
10.210.38.11,67
10.228.38.71,38
10.210.38.252,34
10.210.38.104,25
10.210.38.51,19
10.210.38.80,7
10.228.46.5,3
