olt_ip,total,inactive_count,partial_count,problem_percentage
10.210.38.104,25,1,2,12.00
10.210.38.252,34,0,3,8.82
10.215.65.126,144,5,7,8.33
10.215.74.244,165,5,5,6.06
10.215.74.243,132,5,2,5.30
10.215.74.197,449,9,14,5.12
10.215.65.160,197,3,6,4.57
10.210.38.11,67,1,2,4.48
10.210.38.51,19,0,0,0.00
10.228.38.71,38,0,0,0.00
10.210.38.80,7,0,0,0.00
10.228.46.5,3,0,0,0.00
