plan_category,status,total,percentage
free_plan,active,9,90.00
free_plan,inactive,1,10.00
high_value,active,718,96.25
high_value,inactive,12,1.61
high_value,partial_active,16,2.14
low_value,active,87,95.60
low_value,inactive,2,2.20
low_value,partial_active,2,2.20
mid_value,active,396,91.45
mid_value,partial_active,23,5.31
mid_value,inactive,14,3.23
