plan_category,status,total_customers
free_plan,active,9
free_plan,inactive,1
high_value,active,718
high_value,inactive,12
high_value,partial_active,16
low_value,active,87
low_value,inactive,2
low_value,partial_active,2
mid_value,active,396
mid_value,inactive,14
mid_value,partial_active,23
