olt_ip,total_high_value,risky_customers,risk_percentage
10.215.65.126,79,5,6.33
10.215.74.243,78,4,5.13
10.215.74.197,265,12,4.53
10.215.74.244,114,5,4.39
10.210.38.11,38,1,2.63
10.215.65.160,105,1,0.95
10.210.38.104,8,0,0.00
10.210.38.51,9,0,0.00
10.210.38.80,7,0,0.00
10.228.38.71,25,0,0.00
10.210.38.252,15,0,0.00
10.228.46.5,3,0,0.00
